,term1,term2,term3,term4
SOSC 12100,Autumn,,,
SOSC 12200,Winter,,,
SOSC 12300,Spring,,,
SOSC 13100,Autumn,,,
SOSC 13200,Winter,,,
SOSC 13300,Spring,,,
SOSC 14100,Autumn,,,
SOSC 14200,Winter,,,
SOSC 14300,Spring,,,
SOSC 15100,Autumn,,,
SOSC 15200,Winter,,,
SOSC 15300,Spring,,,
SOSC 21100,Winter,,,
SOSC 21200,Spring,,,
SOSC 22000,Autumn,,,
SOSC 22100,Winter,,,
SOSC 22200,Spring,,,
SOSC 23000,Winter,,,
SOSC 23100,Spring,,,
SOSC 23500,Summer,Autumn,,
SOSC 23600,Summer,Winter,,
SOSC 23700,Spring,,,
SOSC 24000,Autumn,,,
SOSC 24001,Autumn,,,
SOSC 24002,Winter,,,
SOSC 24003,Spring,,,
SOSC 24100,Winter,,,
SOSC 25100,Autumn,,,
SOSC 26100,Autumn,,,
SOSC 26200,Winter,,,
SOSC 26300,Spring,,,
SOSC 26900,Spring,,,
SOSC 29500,Autumn, Winter, Spring,
SOSC 29700,Autumn, Winter, Spring,
SOSC 29900,Autumn, Winter, Spring, Summer
SOSC 34500,Autumn,Winter,,
SOSC 34600,Spring,,,
SOSC 39000,Autumn,,,
HMRT 10100,Autumn,,,
HMRT 10200,Winter,,,
HMRT 20100,Spring,,,
HMRT 20101,Spring,,,
HMRT 20116,Autumn,,,
HMRT 20200,Winter,,,
HMRT 20201,Spring,,,
HMRT 20300,Winter,,,
HMRT 20301,Spring,,,
HMRT 21400,Winter,,,
HMRT 23301,Winter,,,
HMRT 23302,Spring,,,
HMRT 24501,Winter,,,
HMRT 24701,Autumn,,,
HMRT 25210,Autumn,,,
HMRT 26150,Spring,,,
HMRT 26151,Spring,,,
HMRT 27061,Winter,,,
HMRT 27306,Autumn,,,
HMRT 28310,Winter,,,
HMRT 28602,Spring,,,
HMRT 29120,Spring,,,
PHSC 10100,Winter,,,
PHSC 10800,Autumn,,,
PHSC 10900,Autumn,,,
PHSC 11000,Spring,,,
PHSC 11100,Autumn,,,
PHSC 11200,Winter,,,
PHSC 11300,Autumn,,,
PHSC 11400,Autumn,,,
PHSC 11500,Spring,,,
PHSC 11902,Autumn,,,
